Currency,Symbol,Keywords
Bitcoin,BTC,"Bitcoin, BTC"
Ethereum,ETH,"Ethereum, ETH"
Ripple,XRP,"Ripple, XRP"
Litecoin,LTC,"Litecoin, LTC"
Bitcoin Cash,BCH,"BCH, $BCH"
EOS,EOS,"EOS"
Binance Coin,BNB,"Binance Coin, $BNB, #BNB"
Bitcoin SV,BSV,"Bitcoin SV, $BSV, #BSV"
Tether,USDT,"Tether, USDT, $USDT"
Cardano,ADA,"Cardano, $ADA, #ADA"
TRON Coin,TRX,"TRON, $TRX, #TRX"
Stellar,XLM,"Stellar, Lumens $XLM, #XLM"
UNUS SED LEO,LEO,"Unus Sed Leo, $LEO"
Monero,XMR,"Monero, XMR"
Dash Coin,DASH,"$DASH, Dash Coin, #DASH"
NEO Coin,NEO,"NEO Coin, $NEO, #NEO"
IOTA,MIOTA,"IOTA, $IOTA, MIOTA"
Ethereum Classic,ETC,"Ethereum Classic, $ETC, #ETC"
NEM Coin,XEM,"NEM Coin, $XEM, $NEM, #XEM, #NEM"
Zcash,ZEC,"Zcash, ZEC, $ZEC"
Tezos Coin,XTZ,"Tezos Coin, $XTZ, #XTZ"
Qtum,QTUM,"Qtum, $QTUM, QTUM"
Bitcoin Gold,BTG,"Bitcoin Gold, $BTG, #BTG"
VeChain,VET,"VeChain, $VET"
Dogecoin,DOGE,"Dogecoin, $DOGE"
Basic Attention Token,BAT,"Basic Attention Token, $BAT"
OmiseGO,OMG,"OmiseGO, $OMG"
USD Coin,USDC,"USD Coin, $USDC"
V Systems,VSYS,"V Systems, $VSYS"
BitTorrent Coin,BTT,"BitTorrent Coin, $BTT"
Aurora Coin,AOA,"Aurora Coin, $AOA, #AOA"
Bitcoin Diamond,BCD,"Bitcoin Diamond, $BCD"
Lisk,LSK,"Lisk, $LSK, #LSK"
Ravencoin,RVN,"Ravencoin, $RVN, #RVN"
TrueUSD,TUSD,"TrueUSD, $TUSD, #TUSD"
Waves Coin,WAVES,"Waves Coin, $WAVES"
Qubitica,QBIT,"Qubitica, $QBIT, #QBIT"
Bytecoin,BCN,"Bytecoin, $BCN, #BCN"
Augur,REP,"Augur, $REP"
MonaCoin,MONA,"MonaCoin, $MONA"
Paxos Standard Token,PAX,"Paxos Standard Token, $PAX, #PAX"
ThoreCoin,THR,"ThoreCoin, $THR, #THR"
Energi Coin,NRG,"Energi Coin, $NRG, #NRG"
IOST Coin,IOST,"IOST Coin, $IOST, #IOST"
Zilliqa,ZIL,"Zilliqa, $ZIL, #ZIL"
BitShares,BTS,"BitShares, $BTS, #BTS"
ICON Coin,ICX,"ICON Coin, $ICX, #ICX"
Komodo Coin,KMD,"Komodo Coin, $KMD, #KMD"
DigiByte,DGB,"DigiByte, $DGB, #DGB"
KuCoin Shares,KCS,"KuCoin Shares, $KCS, #KCS"
ABBC Coin,ABBC,"ABBC Coin, $ABBC"
GXChain,GXC,"GXChain, $GXC, #GXC"
Siacoin,SC,"Siacoin, $SC"
Metaverse ETP,ETP,"Metaverse ETP, $ETP"
Aeternity,AE,"Aeternity, $AE"
Verge Coin,XVG,"Verge Coin, $XVG, #XVG"
Mixin Coin,XIN,"Mixin Coin, $XIN"
Steem,STEEM,"Steem, $STEEM"
VestChain,VEST,"VestChain, $VEST"
Ardor Coin,ARDR,"Ardor Coin, $ARDR, #ARDR"
